AreaName,PremisDescription,Total
Newton,RECYCLING CENTER,11
Newton,CONSTRUCTION SITE,11
Newton,MANUFACTURING COMPANY,10
Newton,TRANSPORTATION FACILITY (AIRPORT),10
Newton,STORAGE SHED,9
Newton,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",8
Newton,PROJECT/TENEMENT/PUBLIC HOUSING,8
Newton,MTA - BLUE LINE - SAN PEDRO,8
Newton,FACTORY,8
Newton,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,8
Newton,BAR/COCKTAIL/NIGHTCLUB,7
Newton,MEDICAL MARIJUANA FACILITIES/BUSINESSES,7
Newton,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,7
Newton,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),7
Newton,NURSING/CONVALESCENT/RETIREMENT HOME,6
Newton,OTHER PLACE OF WORSHIP,6
Newton,BEAUTY/BARBER SHOP,6
Newton,CHECK CASHING*,6
Newton,"TERMINAL, OTHER THAN MTA",5
Newton,SWAP MEET,5
Newton,GROUP HOME,5
Newton,SPECIALTY SCHOOL/OTHER,5
Newton,WEBSITE,5
Newton,AUTO SUPPLY STORE*,4
Newton,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",4
Newton,MTA - BLUE LINE - GRAND/LATTC,4
Newton,CATERING/ICE CREAM TRUCK,4
Newton,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,4
Newton,PUBLIC RESTROOM/OUTSIDE*,4
Newton,AUTO SALES LOT,4
Newton,FREEWAY,4
Newton,MEDICAL/DENTAL OFFICES,4
Newton,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,4
Newton,SHOPPING MALL (COMMON AREA),4
Newton,VACANT LOT,3
Newton,PATIO*,3
Newton,CONDOMINIUM/TOWNHOUSE,3
Newton,FURNITURE STORE,3
Newton,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,3
Newton,"BUS DEPOT/TERMINAL, OTHER THAN MTA",3
Newton,TOW YARD*,3
Newton,HOSPITAL,3
Newton,CAR WASH,2
Newton,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",2
Newton,SLIPS/DOCK/MARINA/BOAT,2
Newton,BALCONY*,2
Newton,HARDWARE/BUILDING SUPPLY,2
Newton,POST OFFICE,2
Newton,MUSEUM,2
Newton,MORTUARY,2
Newton,TAXI,2
Newton,DEPARTMENT STORE,2
Newton,LIBRARY,2
Newton,ENTERTAINMENT/COMEDY CLUB (OTHER),2
Newton,BAR/SPORTS BAR (OPEN DAY & NIGHT),2
Newton,CREDIT UNION,2
Newton,TOBACCO SHOP,2
Newton,DRIVE THRU*,2
Newton,TELECOMMUNICATION FACILITY/LOCATION,2
Newton,PRIVATE SCHOOL/PRESCHOOL,2
Newton,PHARMACY INSIDE STORE OR SUPERMARKET*,2
Newton,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,2
Newton,MTA - SILVER LINE - SLAUSON,2
Newton,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",2
Newton,NAIL SALON,2
Newton,BUS-CHARTER/PRIVATE,2
Newton,PET STORE,2
Newton,EQUIPMENT RENTAL,1
Newton,"BUS, SCHOOL, CHURCH",1
Newton,BUS STOP/LAYOVER (ALSO QUERY 124),1
Newton,MASSAGE PARLOR,1
Newton,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC",1
Newton,COLISEUM,1
Newton,AMUSEMENT PARK*,1
Newton,PUBLIC RESTROOM(INDOORS-INSIDE),1
Newton,UNDERPASS/BRIDGE*,1
Newton,BEAUTY SUPPLY STORE,1
Newton,CONVENTION CENTER,1
Newton,MTA - GREEN LINE - AVALON,1
Newton,GARMENT MANUFACTURER,1
Newton,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",1
Newton,VALET,1
Newton,MTA PROPERTY OR PARKING LOT,1
Newton,JEWELRY STORE,1
Newton,RETIRED (DUPLICATE) DO NOT USE THIS CODE,1
Newton,PAY PHONE,1
Newton,PAWN SHOP,1
Newton,DRIVE THRU BANKING (WINDOW)*,1
Newton,"SPORTS VENUE, OTHER",1
Newton,HOSPICE,1
Newton,FRAT HOUSE/SORORITY/DORMITORY,1
Newton,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,1
Newton,SYNAGOGUE/TEMPLE,1
Newton,FIRE STATION,1
Newton,TRASH CAN/TRASH DUMPSTER,1
Newton,HIGH-RISE BUILDING,1
Newton,APARTMENT/CONDO COMMON LAUNDRY ROOM,1
Northeast,SINGLE FAMILY DWELLING,2367
Northeast,STREET,2232
Northeast,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1061
Northeast,PARKING LOT,606
Northeast,OTHER BUSINESS,584
Northeast,SIDEWALK,308
Northeast,PARK/PLAYGROUND,225
Northeast,RESTAURANT/FAST FOOD,177
Northeast,"VEHICLE, PASSENGER/TRUCK",175
Northeast,GARAGE/CARPORT,156
Northeast,DODGER STADIUM,153
Northeast,DRIVEWAY,151
Northeast,DRUG STORE,129
Northeast,MARKET,122
Northeast,HOSPITAL,102
Northeast,BANK,100
Northeast,OTHER PREMISE,95
Northeast,YARD (RESIDENTIAL/BUSINESS),94
Northeast,PUBLIC STORAGE,85
Northeast,AUTOMATED TELLER MACHINE (ATM),81
Northeast,OTHER RESIDENCE,77
Northeast,GAS STATION,66
Northeast,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",60
Northeast,"PORCH, RESIDENTIAL",52
Northeast,MINI-MART,49
Northeast,DEPARTMENT STORE,47
Northeast,CLOTHING STORE,47
Northeast,BAR/COCKTAIL/NIGHTCLUB,42
Northeast,OTHER STORE,42
Northeast,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",37
Northeast,OTHER/OUTSIDE,35
Northeast,ELEMENTARY SCHOOL,33
Northeast,CELL PHONE STORE,32
Northeast,HIGH SCHOOL,32
Northeast,MTA BUS,30
Northeast,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",30
Northeast,MTA - RED LINE - VERMONT/SUNSET,29
Northeast,CONSTRUCTION SITE,29
Northeast,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),29
Northeast,PARKING UNDERGROUND/BUILDING,28
Northeast,HOTEL,27
Northeast,JUNIOR HIGH SCHOOL,25
Northeast,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",24
Northeast,WEBSITE,24
Northeast,MAIL BOX,23
Northeast,POST OFFICE,23
Northeast,ALLEY,21
Northeast,OFFICE BUILDING/OFFICE,20
Northeast,LIQUOR STORE,20
Northeast,WAREHOUSE,19
Northeast,GROUP HOME,19
Northeast,NURSING/CONVALESCENT/RETIREMENT HOME,19
Northeast,MOTEL,19
Northeast,MISSIONS/SHELTERS,18
Northeast,CYBERSPACE,18
Northeast,STORAGE SHED,17
Northeast,CONDOMINIUM/TOWNHOUSE,15
Northeast,LIBRARY,14
Northeast,AUTO REPAIR SHOP,14
Northeast,MTA - GOLD LINE - SOUTHWEST MUSEUM,13
Northeast,HARDWARE/BUILDING SUPPLY,13
Northeast,HEALTH SPA/GYM,13
Northeast,ABANDONED BUILDING ABANDONED HOUSE,13
Northeast,MTA - GOLD LINE - HIGHLAND PARK,12
Northeast,PATIO*,12
Northeast,MEDICAL/DENTAL OFFICES,12
Northeast,BUS STOP,12
Northeast,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",12
Northeast,LAUNDROMAT,12
Northeast,MUSEUM,11
Northeast,CEMETARY*,10
Northeast,SHOPPING MALL (COMMON AREA),9
Northeast,THEATRE/MOVIE,9
Northeast,PHARMACY INSIDE STORE OR SUPERMARKET*,9
Northeast,AUTO SUPPLY STORE*,8
Northeast,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",8
Northeast,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,8
Northeast,POLICE FACILITY,8
Northeast,BEAUTY/BARBER SHOP,7
Northeast,SPECIALTY SCHOOL/OTHER,6
Northeast,RIVER BED*,6
Northeast,BAR/SPORTS BAR (OPEN DAY & NIGHT),6
Northeast,TRANSIENT ENCAMPMENT,6
Northeast,CAR WASH,6
Northeast,NIGHT CLUB (OPEN EVENINGS ONLY),6
Northeast,MTA - GOLD LINE - HERITAGE SQ,6
Northeast,APARTMENT/CONDO COMMON LAUNDRY ROOM,6
Northeast,"BUS, SCHOOL, CHURCH",6
Northeast,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,5
Northeast,MASSAGE PARLOR,5
Northeast,GOLF COURSE*,4
Northeast,NURSERY/FLOWER SHOP,4
Northeast,TRANSITIONAL HOUSING/HALFWAY HOUSE,4
Northeast,VACANT LOT,4
Northeast,FREEWAY,4
Northeast,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",4
Northeast,PUBLIC RESTROOM(INDOORS-INSIDE),3
Northeast,DRIVE THRU*,3
Northeast,UNDERPASS/BRIDGE*,3
Northeast,BALCONY*,3
Northeast,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,3
Northeast,NULL,3
Northeast,NAIL SALON,3
Northeast,PRIVATE SCHOOL/PRESCHOOL,3
Northeast,VETERINARIAN/ANIMAL HOSPITAL,3
Northeast,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),3
Northeast,TOBACCO SHOP,3
Northeast,RECYCLING CENTER,2
Northeast,THE GROVE,2
Northeast,FINANCE COMPANY,2
Northeast,MTA - RED LINE - VERMONT/SANTA MONICA,2
Northeast,STAIRWELL*,2
Northeast,AMUSEMENT PARK*,2
Northeast,MTA PROPERTY OR PARKING LOT,2
Northeast,DAY CARE/ADULTS*,2
Northeast,MANUFACTURING COMPANY,2
Northeast,JEWELRY STORE,2
Northeast,OTHER PLACE OF WORSHIP,2
Northeast,DAY CARE/CHILDREN*,2
Northeast,MEDICAL MARIJUANA FACILITIES/BUSINESSES,2
Northeast,CLEANER/LAUNDROMAT,2
Northeast,SKATEBOARD FACILITY/SKATEBOARD PARK*,1
Northeast,BUS STOP/LAYOVER (ALSO QUERY 124),1
Northeast,DAM/RESERVOIR,1
Northeast,PROJECT/TENEMENT/PUBLIC HOUSING,1
Northeast,VISION CARE FACILITY*,1
Northeast,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,1
Northeast,MTA - RED LINE - PERSHING SQUARE,1
Northeast,TOW YARD*,1
Northeast,THE BEVERLY CONNECTION,1
Northeast,ENTERTAINMENT/COMEDY CLUB (OTHER),1
Northeast,METROLINK TRAIN,1
Northeast,PUBLIC RESTROOM/OUTSIDE*,1
Northeast,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",1
Northeast,PAWN SHOP,1
Northeast,AUTO SALES LOT,1
Northeast,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",1
Northeast,MORTUARY,1
Northeast,TRANSPORTATION FACILITY (AIRPORT),1
Northeast,TRASH CAN/TRASH DUMPSTER,1
Northeast,CATERING/ICE CREAM TRUCK,1
Northeast,FURNITURE STORE,1
Northeast,CHECK CASHING*,1
Northeast,TRAIN TRACKS,1
Northeast,FIRE STATION,1
Northeast,CULTURAL SIGNIFICANCE/MONUMENT,1
Northeast,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",1
Northeast,PET STORE,1
Northeast,SYNAGOGUE/TEMPLE,1
Olympic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",3292
Olympic,STREET,2094
Olympic,SINGLE FAMILY DWELLING,1554
Olympic,SIDEWALK,916
Olympic,PARKING LOT,677
Olympic,"VEHICLE, PASSENGER/TRUCK",676
Olympic,OTHER BUSINESS,484
Olympic,RESTAURANT/FAST FOOD,307
Olympic,GARAGE/CARPORT,289
Olympic,PARKING UNDERGROUND/BUILDING,170
Olympic,MARKET,143
Olympic,MTA - RED LINE - WILSHIRE/VERMONT,128
Olympic,DRUG STORE,110
Olympic,DRIVEWAY,98
Olympic,YARD (RESIDENTIAL/BUSINESS),94
Olympic,MTA BUS,82
Olympic,CELL PHONE STORE,74
Olympic,HOTEL,71
Olympic,GAS STATION,69
Olympic,MINI-MART,68
Olympic,OTHER RESIDENCE,61
Olympic,BANK,56
Olympic,TRANSIENT ENCAMPMENT,51
Olympic,OTHER STORE,49
Olympic,CLOTHING STORE,49
Olympic,NIGHT CLUB (OPEN EVENINGS ONLY),47
Olympic,AUTOMATED TELLER MACHINE (ATM),47
Olympic,LIQUOR STORE,43
Olympic,LAUNDROMAT,42
Olympic,ELEMENTARY SCHOOL,41
Olympic,ALLEY,41
Olympic,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),40
Olympic,PARK/PLAYGROUND,37
Olympic,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",37
Olympic,BUS STOP,36
Olympic,MTA - PURPLE LINE - WILSHIRE/WESTERN,35
Olympic,HEALTH SPA/GYM,34
Olympic,BAR/COCKTAIL/NIGHTCLUB,33
Olympic,CONSTRUCTION SITE,33
Olympic,BAR/SPORTS BAR (OPEN DAY & NIGHT),33
Olympic,OTHER PREMISE,31
Olympic,JUNIOR HIGH SCHOOL,30
Olympic,MTA - PURPLE LINE - WILSHIRE/NORMANDIE,28
Olympic,MTA - PURPLE LINE - WILSHIRE/VERMONT,28
Olympic,OTHER/OUTSIDE,28
Olympic,"PORCH, RESIDENTIAL",28
Olympic,CONDOMINIUM/TOWNHOUSE,24
Olympic,ABANDONED BUILDING ABANDONED HOUSE,23
Olympic,DEPARTMENT STORE,22
Olympic,OFFICE BUILDING/OFFICE,21
Olympic,POLICE FACILITY,20
Olympic,MAIL BOX,20
Olympic,BEAUTY/BARBER SHOP,19
Olympic,NURSING/CONVALESCENT/RETIREMENT HOME,18
Olympic,STORAGE SHED,17
Olympic,HIGH SCHOOL,16
Olympic,MEDICAL/DENTAL OFFICES,16
Olympic,APARTMENT/CONDO COMMON LAUNDRY ROOM,15
Olympic,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",15
Olympic,SHOPPING MALL (COMMON AREA),14
Olympic,MOTEL,13
Olympic,PHARMACY INSIDE STORE OR SUPERMARKET*,13
Olympic,CAR WASH,12
Olympic,PUBLIC STORAGE,12
Olympic,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",12
Olympic,PRIVATE SCHOOL/PRESCHOOL,10
Olympic,TOBACCO SHOP,10
Olympic,MISSIONS/SHELTERS,10
Olympic,CHECK CASHING*,10
Olympic,SPECIALTY SCHOOL/OTHER,10
Olympic,MTA - RED LINE - VERMONT/BEVERLY,8
Olympic,AUTO REPAIR SHOP,8
Olympic,GROUP HOME,7
Olympic,CYBERSPACE,7
Olympic,MEDICAL MARIJUANA FACILITIES/BUSINESSES,7
Olympic,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,6
Olympic,SHORT-TERM VACATION RENTAL,6
Olympic,NAIL SALON,6
Olympic,AUTO SUPPLY STORE*,6
Olympic,PATIO*,5
Olympic,LIBRARY,5
Olympic,POST OFFICE,5
Olympic,SYNAGOGUE/TEMPLE,5
Olympic,BUS STOP/LAYOVER (ALSO QUERY 124),4
Olympic,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,4
Olympic,BOWLING ALLEY*,4
Olympic,NULL,4
Olympic,WAREHOUSE,4
Olympic,GUN/SPORTING GOODS,4
Olympic,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",4
Olympic,ELEVATOR,4
Olympic,MOSQUE*,4
Olympic,COMPUTER SERVICES/REPAIRS/SALES,4
Olympic,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",4
Olympic,VISION CARE FACILITY*,4
Olympic,BEAUTY SUPPLY STORE,4
Olympic,FIRE STATION,3
Olympic,PUBLIC RESTROOM/OUTSIDE*,3
Olympic,STAIRWELL*,3
Olympic,PROJECT/TENEMENT/PUBLIC HOUSING,3
Olympic,FREEWAY,3
Olympic,BALCONY*,3
Olympic,TRANSITIONAL HOUSING/HALFWAY HOUSE,3
Olympic,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,3
Olympic,RECYCLING CENTER,2
Olympic,FURNITURE STORE,2
Olympic,DAY CARE/ADULTS*,2
Olympic,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",2
Olympic,TOW YARD*,2
Olympic,VALET,2
Olympic,AUTO SALES LOT,2
Olympic,JEWELRY STORE,2
Olympic,MORTUARY,2
Olympic,CLEANER/LAUNDROMAT,2
Olympic,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,2
Olympic,HOSPITAL,2
Olympic,MTA PROPERTY OR PARKING LOT,1
Olympic,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",1
Olympic,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,1
Olympic,VACANT LOT,1
Olympic,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",1
Olympic,WATER FACILITY,1
Olympic,TRASH CAN/TRASH DUMPSTER,1
Olympic,THEATRE/MOVIE,1
Olympic,FRAT HOUSE/SORORITY/DORMITORY,1
Olympic,MTA - RED LINE - HOLLYWOOD/VINE,1
Olympic,CULTURAL SIGNIFICANCE/MONUMENT,1
Olympic,FINANCE COMPANY,1
Olympic,GOLF COURSE*,1
Olympic,POOL-PUBLIC/OUTDOOR OR INDOOR*,1
Olympic,HIGH-RISE BUILDING,1
Olympic,PUBLIC RESTROOM(INDOORS-INSIDE),1
Olympic,HARDWARE/BUILDING SUPPLY,1
Olympic,MTA - BLUE LINE - GRAND/LATTC,1
Olympic,MUSCLE BEACH,1
Olympic,MTA - PURPLE LINE - UNION STATION,1
Olympic,EQUIPMENT RENTAL,1
Olympic,PAWN SHOP,1
Olympic,TATTOO PARLOR*,1
Olympic,DAY CARE/CHILDREN*,1
Olympic,GARMENT MANUFACTURER,1
Pacific,SINGLE FAMILY DWELLING,2239
Pacific,STREET,1810
Pacific,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1481
Pacific,TRANSPORTATION FACILITY (AIRPORT),900
Pacific,PARKING LOT,796
Pacific,GARAGE/CARPORT,792
Pacific,OTHER BUSINESS,659
Pacific,SIDEWALK,534
Pacific,OTHER PREMISE,479
Pacific,BEACH,357
Pacific,HOTEL,225
Pacific,DRIVEWAY,188
Pacific,RESTAURANT/FAST FOOD,180
Pacific,ALLEY,162
Pacific,OTHER RESIDENCE,151
Pacific,MARKET,148
Pacific,DEPARTMENT STORE,125
Pacific,"VEHICLE, PASSENGER/TRUCK",108
Pacific,YARD (RESIDENTIAL/BUSINESS),95
Pacific,PUBLIC STORAGE,88
Pacific,GAS STATION,82
Pacific,PARKING UNDERGROUND/BUILDING,77
Pacific,BANK,76
Pacific,OTHER/OUTSIDE,73
Pacific,PARK/PLAYGROUND,67
Pacific,CONDOMINIUM/TOWNHOUSE,67
Pacific,DRUG STORE,63
Pacific,TRANSIENT ENCAMPMENT,63
Pacific,AUTOMATED TELLER MACHINE (ATM),60
Pacific,"PORCH, RESIDENTIAL",52
Pacific,BAR/COCKTAIL/NIGHTCLUB,49
Pacific,OTHER STORE,45
Pacific,MAIL BOX,41
Pacific,LIQUOR STORE,40
Pacific,CLOTHING STORE,37
Pacific,MINI-MART,36
Pacific,CONSTRUCTION SITE,33
Pacific,OFFICE BUILDING/OFFICE,32
Pacific,STORAGE SHED,31
Pacific,HOSPITAL,30
Pacific,ELEMENTARY SCHOOL,29
Pacific,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),27
Pacific,WEBSITE,26
Pacific,POLICE FACILITY,25
Pacific,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",24
Pacific,JUNIOR HIGH SCHOOL,22
Pacific,BALCONY*,20
Pacific,BUS STOP,20
Pacific,CELL PHONE STORE,20
Pacific,PATIO*,20
Pacific,HIGH SCHOOL,19
Pacific,HEALTH SPA/GYM,18
Pacific,MEDICAL/DENTAL OFFICES,17
Pacific,CYBERSPACE,17
Pacific,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",17
Pacific,SHOPPING MALL (COMMON AREA),15
Pacific,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,15
Pacific,MTA BUS,14
Pacific,WAREHOUSE,14
Pacific,NULL,14
Pacific,MTA - EXPO LINE - PALMS,13
Pacific,PROJECT/TENEMENT/PUBLIC HOUSING,12
Pacific,SKATEBOARD FACILITY/SKATEBOARD PARK*,12
Pacific,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",12
Pacific,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,11
Pacific,BAR/SPORTS BAR (OPEN DAY & NIGHT),11
Pacific,LAUNDROMAT,10
Pacific,NURSING/CONVALESCENT/RETIREMENT HOME,10
Pacific,BUS-CHARTER/PRIVATE,10
Pacific,TRANSITIONAL HOUSING/HALFWAY HOUSE,9
Pacific,PHARMACY INSIDE STORE OR SUPERMARKET*,8
Pacific,ABANDONED BUILDING ABANDONED HOUSE,8
Pacific,TAXI,8
Pacific,GOLF COURSE*,8
Pacific,AUTO REPAIR SHOP,8
Pacific,BEAUTY/BARBER SHOP,7
Pacific,MOTEL,7
Pacific,MTA - GREEN LINE - AVIATION/LAX,6
Pacific,THEATRE/MOVIE,6
Pacific,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",6
Pacific,LIBRARY,6
Pacific,CAR WASH,5
Pacific,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",5
Pacific,CREDIT UNION,5
Pacific,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",5
Pacific,POST OFFICE,5
Pacific,HARDWARE/BUILDING SUPPLY,5
Pacific,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",5
Pacific,BOOK STORE,5
Pacific,"BUS DEPOT/TERMINAL, OTHER THAN MTA",4
Pacific,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",4
Pacific,MISSIONS/SHELTERS,4
Pacific,HIGH-RISE BUILDING,4
Pacific,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",4
Pacific,JEWELRY STORE,4
Pacific,APARTMENT/CONDO COMMON LAUNDRY ROOM,4
Pacific,BASKETBALL COURTS,4
Pacific,FRAT HOUSE/SORORITY/DORMITORY,4
Pacific,MTA - RED LINE - HOLLYWOOD/VINE,4
Pacific,CLEANER/LAUNDROMAT,4
Pacific,PRIVATE SCHOOL/PRESCHOOL,4
Pacific,PUBLIC RESTROOM/OUTSIDE*,3
Pacific,POOL-PUBLIC/OUTDOOR OR INDOOR*,3
Pacific,SHORT-TERM VACATION RENTAL,3
Pacific,DRIVE THRU*,3
Pacific,VALET,3
Pacific,ENTERTAINMENT/COMEDY CLUB (OTHER),3
Pacific,TATTOO PARLOR*,3
Pacific,ELEVATOR,3
Pacific,AIRCRAFT,3
Pacific,PET STORE,3
Pacific,MUSEUM,3
Pacific,VACANT LOT,3
Pacific,STAIRWELL*,3
Pacific,SPECIALTY SCHOOL/OTHER,3
Pacific,MASSAGE PARLOR,3
Pacific,MUSCLE BEACH,3
Pacific,TOBACCO SHOP,3
Pacific,DAY CARE/CHILDREN*,2
Pacific,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",2
Pacific,RECYCLING CENTER,2
Pacific,HOSPICE,2
Pacific,FURNITURE STORE,2
Pacific,HANDBALL COURTS,2
Pacific,BUS STOP/LAYOVER (ALSO QUERY 124),2
Pacific,AUTO SALES LOT,2
Pacific,FREEWAY,2
Pacific,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,2
Pacific,MANUFACTURING COMPANY,2
Pacific,NAIL SALON,2
Pacific,DAY CARE/ADULTS*,2
Pacific,MEDICAL MARIJUANA FACILITIES/BUSINESSES,2
Pacific,SYNAGOGUE/TEMPLE,2
Pacific,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),2
Pacific,GROUP HOME,2
Pacific,ENERGY PLANT/FACILITY,1
Pacific,MTA PROPERTY OR PARKING LOT,1
Pacific,RIVER BED*,1
Pacific,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,1
Pacific,CHECK CASHING*,1
Pacific,"TERMINAL, OTHER THAN MTA",1
Pacific,PUBLIC RESTROOM(INDOORS-INSIDE),1
Pacific,VISION CARE FACILITY*,1
Pacific,"OTHER INTERSTATE, CHARTER BUS",1
Pacific,TRAIN TRACKS,1
Pacific,UNDERPASS/BRIDGE*,1
Pacific,THE BEVERLY CENTER,1
Pacific,SPORTS ARENA,1
Pacific,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)",1
Pacific,CONVENTION CENTER,1
Pacific,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,1
Pacific,AUTO SUPPLY STORE*,1
Pacific,METROLINK TRAIN,1
Pacific,NIGHT CLUB (OPEN EVENINGS ONLY),1
Pacific,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",1
Pacific,EQUIPMENT RENTAL,1
Pacific,WATER FACILITY,1
Pacific,"BUS, SCHOOL, CHURCH",1
Pacific,OTHER PLACE OF WORSHIP,1
Pacific,MTA - EXPO LINE - EXPO/BUNDY,1
Pacific,BEAUTY SUPPLY STORE,1
Pacific,GUN/SPORTING GOODS,1
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",3201
Rampart,STREET,2037
Rampart,SINGLE FAMILY DWELLING,1002
Rampart,SIDEWALK,948
Rampart,"VEHICLE, PASSENGER/TRUCK",546
Rampart,PARKING LOT,512
Rampart,OTHER BUSINESS,364
Rampart,DEPARTMENT STORE,258
Rampart,PARK/PLAYGROUND,169
Rampart,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,158
Rampart,PARKING UNDERGROUND/BUILDING,143
Rampart,AUTOMATED TELLER MACHINE (ATM),143
Rampart,RESTAURANT/FAST FOOD,137
Rampart,GARAGE/CARPORT,127
Rampart,BANK,107
Rampart,MINI-MART,106
Rampart,ALLEY,95
Rampart,MARKET,85
Rampart,OTHER PREMISE,83
Rampart,HOTEL,70
Rampart,OTHER STORE,67
Rampart,MTA - RED LINE - VERMONT/BEVERLY,67
Rampart,DRIVEWAY,66
Rampart,CLOTHING STORE,62
Rampart,GAS STATION,57
Rampart,MTA BUS,57
Rampart,OTHER RESIDENCE,54
Rampart,OFFICE BUILDING/OFFICE,45
Rampart,HIGH SCHOOL,43
Rampart,LIQUOR STORE,43
Rampart,DRUG STORE,41
Rampart,YARD (RESIDENTIAL/BUSINESS),41
Rampart,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",39
Rampart,BUS STOP,36
Rampart,NURSING/CONVALESCENT/RETIREMENT HOME,34
Rampart,MEDICAL/DENTAL OFFICES,33
Rampart,MTA - RED LINE - VERMONT/SANTA MONICA,29
Rampart,POLICE FACILITY,29
Rampart,"PORCH, RESIDENTIAL",28
Rampart,ELEMENTARY SCHOOL,26
Rampart,PUBLIC STORAGE,26
Rampart,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",26
Rampart,LAUNDROMAT,24
Rampart,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",23
